iter	Passed	Remaining
399	71111	284447
400	71312	284360
401	71502	284231
402	71696	284118
403	71906	284064
404	72105	283972
405	72243	283635
406	72392	283343
407	72579	283200
408	72798	283184
409	72983	283035
410	73117	282684
411	73319	282599
412	73543	282599
413	73702	282347
414	73841	282023
415	74003	281783
416	74175	281583
417	74363	281441
418	74565	281354
419	74781	281319
420	74932	281041
421	75119	280898
422	75327	280830
423	75479	280555
424	75655	280368
425	75840	280219
426	75972	279872
427	76157	279719
428	76242	279199
429	76410	278988
430	76455	278326
431	76637	278165
432	76802	277944
433	76987	277791
434	77142	277536
435	77307	277312
436	77493	277167
437	77698	277088
438	77885	276947
439	78087	276855
440	78274	276713
441	78434	276472
442	78595	276238
443	78762	276022
444	78954	275897
445	79183	275898
446	79344	275664
447	79501	275415
448	79709	275345
449	79889	275173
450	80067	274998
451	80248	274833
452	80398	274562
453	80556	274317
454	80756	274216
455	80920	273995
456	81073	273732
457	81235	273504
458	81432	273393
459	81594	273162
460	81766	272969
461	81980	272913
462	82126	272631
463	82300	272444
464	82502	272346
465	82658	272098
466	82822	271877
467	83008	271728
468	83188	271559
469	83356	271351
470	83507	271088
471	83652	270808
472	83848	270691
473	84012	270471
474	84178	270258
475	84335	270015
476	84538	269919
477	84683	269640
478	84819	269333
479	84989	269133
480	85149	268904
481	85327	268727
482	85520	268600
483	85728	268520
484	85895	268313
485	86084	268172
486	86289	268083
487	86474	267928
488	86652	267754
489	86830	267578
490	87019	267439
491	87224	267345
492	87373	267083
493	87495	266738
494	87582	266284
495	87802	266240
496	87998	266119
497	88165	265912
498	88378	265844
499	88526	265579
500	88724	265464
501	88916	265332
502	89091	265147
503	89295	265050
504	89480	264898
505	89666	264746
506	89861	264620
507	90056	264497
508	90264	264408
509	90461	264290
510	90599	263998
511	90795	263873
512	90964	263673
513	91120	263433
514	91279	263202
515	91482	263101
516	91641	262871
517	91821	262702
518	92027	262606
519	92183	262367
520	92384	262259
521	92585	262147
522	92781	262022
523	92992	261942
524	93155	261723
525	93350	261593
526	93585	261576
527	93784	261458
528	93898	261104
529	94062	260889
530	94252	260746
531	94398	260482
532	94561	260266
533	94743	260100
534	94930	259949
535	95131	259837
536	95334	259728
537	95497	259511
538	95719	259454
539	95913	259320
540	96054	259046
541	96258	258938
542	96421	258722
543	96611	258577
544	96818	258478
545	97024	258377
546	97195	258180
547	97379	258019
548	97540	257798
549	97725	257639
550	97937	257551
551	98103	257342
552	98275	257152
553	98405	256849
554	98596	256705
555	98791	256574
556	98925	256283
557	99090	256071
558	99246	255839
559	99450	255728
560	99655	255622
561	99851	255492
562	100011	255269
563	100216	255161
564	100432	255079
565	100619	254926
566	100822	254811
567	101020	254686
568	101190	254488
569	101367	254308
570	101554	254153
571	101756	254035
572	101950	253898
573	102112	253681
574	102329	253599
575	102527	253470
576	102755	253417
577	102925	253216
578	103072	252964
579	103257	252803
580	103455	252674
581	103665	252573
582	103815	252325
583	103980	252116
584	104166	251959
585	104354	251803
586	104519	251594
587	104702	251428
588	104896	251289
589	105070	251101
590	105264	250961
591	105482	250876
592	105684	250756
593	105861	250574
594	105998	250297
595	106196	250168
596	106342	249912
597	106524	249744
598	106715	249597
599	106930	249503
600	107112	249335
601	107304	249187
602	107500	249051
603	107713	248953
604	107892	248777
